0,1,2,3
0.0,0.0,0.0,100.0
1.0,0.0,0.0,100.0
1.0,1.0,0.0,100.0
0.0,1.0,0.0,100.0
0.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0
0.09999999999981467,0.0,0.0,100.0
0.1999999999995579,0.0,0.0,100.0
0.2999999999992664,0.0,0.0,100.0
0.3999999999989749,0.0,0.0,100.0
0.4999999999986943,0.0,0.0,100.0
0.5999999999989468,0.0,0.0,100.0
0.69999999999921,0.0,0.0,100.0
0.7999999999994734,0.0,0.0,100.0
0.8999999999997368,0.0,0.0,100.0
1.0,0.09999999999981467,0.0,100.0
1.0,0.1999999999995579,0.0,100.0
1.0,0.2999999999992664,0.0,100.0
1.0,0.3999999999989749,0.0,100.0
1.0,0.4999999999986943,0.0,100.0
1.0,0.5999999999989468,0.0,100.0
1.0,0.69999999999921,0.0,100.0
1.0,0.7999999999994734,0.0,100.0
1.0,0.8999999999997368,0.0,100.0
0.8999999999995836,1.0,0.0,100.0
0.7999999999999998,1.0,0.0,100.0
0.7000000000006934,1.0,0.0,100.0
0.6000000000013869,1.0,0.0,100.0
0.5000000000020587,1.0,0.0,100.0
0.4000000000016644,1.0,0.0,100.0
0.3000000000012483,1.0,0.0,100.0
0.2000000000008322,1.0,0.0,100.0
0.100000000000416,1.0,0.0,100.0
0.0,0.8999999999995836,0.0,100.0
0.0,0.7999999999999998,0.0,100.0
0.0,0.7000000000006934,0.0,100.0
0.0,0.6000000000013869,0.0,100.0
0.0,0.5000000000020587,0.0,100.0
0.0,0.4000000000016644,0.0,100.0
0.0,0.3000000000012483,0.0,100.0
0.0,0.2000000000008322,0.0,100.0
0.0,0.100000000000416,0.0,100.0
0.09999999999981467,0.0,1.0,0.0
0.1999999999995579,0.0,1.0,0.0
0.2999999999992664,0.0,1.0,0.0
0.3999999999989749,0.0,1.0,0.0
0.4999999999986943,0.0,1.0,0.0
0.5999999999989468,0.0,1.0,0.0
0.69999999999921,0.0,1.0,0.0
0.7999999999994734,0.0,1.0,0.0
0.8999999999997368,0.0,1.0,0.0
1.0,0.09999999999981467,1.0,0.0
1.0,0.1999999999995579,1.0,0.0
1.0,0.2999999999992664,1.0,0.0
1.0,0.3999999999989749,1.0,0.0
1.0,0.4999999999986943,1.0,0.0
1.0,0.5999999999989468,1.0,0.0
1.0,0.69999999999921,1.0,0.0
1.0,0.7999999999994734,1.0,0.0
1.0,0.8999999999997368,1.0,0.0
0.8999999999995836,1.0,1.0,0.0
0.7999999999999998,1.0,1.0,0.0
0.7000000000006934,1.0,1.0,0.0
0.6000000000013869,1.0,1.0,0.0
0.5000000000020587,1.0,1.0,0.0
0.4000000000016644,1.0,1.0,0.0
0.3000000000012483,1.0,1.0,0.0
0.2000000000008322,1.0,1.0,0.0
0.100000000000416,1.0,1.0,0.0
0.0,0.8999999999995836,1.0,0.0
0.0,0.7999999999999998,1.0,0.0
0.0,0.7000000000006934,1.0,0.0
0.0,0.6000000000013869,1.0,0.0
